date,region,Re_estimate,CI_down_Re_estimate,CI_up_Re_estimate
2020-03-07,AG,2.37,1.632,3.244
2020-03-08,AG,2.329,1.661,3.109
2020-03-09,AG,2.239,1.642,2.928
2020-03-10,AG,2.116,1.587,2.721
2020-03-11,AG,1.992,1.521,2.525
2020-03-12,AG,1.888,1.466,2.363
2020-03-13,AG,1.807,1.424,2.235
2020-03-14,AG,1.733,1.383,2.121
2020-03-15,AG,1.656,1.335,2.011
2020-03-16,AG,1.571,1.276,1.895
2020-03-17,AG,1.477,1.207,1.774
2020-03-18,AG,1.386,1.137,1.659
2020-03-19,AG,1.306,1.075,1.56
2020-03-20,AG,1.242,1.024,1.48
2020-03-21,AG,1.191,0.984,1.417
2020-03-22,AG,1.148,0.95,1.365
2020-03-23,AG,1.106,0.915,1.315
2020-03-24,AG,1.06,0.876,1.261
2020-03-25,AG,1.011,0.833,1.205
2020-03-26,AG,0.962,0.791,1.151
2020-03-27,AG,0.919,0.752,1.102
2020-03-28,AG,0.881,0.718,1.062
2020-03-29,AG,0.849,0.687,1.027
2020-03-30,AG,0.816,0.656,0.993
2020-03-31,AG,0.78,0.622,0.956
2020-04-01,AG,0.743,0.586,0.919
2020-04-02,AG,0.708,0.552,0.884
2020-04-03,AG,0.683,0.525,0.861
2020-04-04,AG,0.671,0.51,0.854
2020-04-05,AG,0.671,0.505,0.861
2020-04-06,AG,0.678,0.505,0.877
2020-04-07,AG,0.687,0.506,0.896
2020-04-08,AG,0.696,0.507,0.914
2020-04-09,AG,0.704,0.507,0.933
2020-04-10,AG,0.718,0.512,0.958
2020-04-11,AG,0.745,0.527,0.998
2020-04-12,AG,0.78,0.55,1.049
2020-04-13,AG,0.813,0.571,1.097
2020-04-14,AG,0.835,0.584,1.131
2020-04-15,AG,0.837,0.58,1.141
2020-04-16,AG,0.818,0.56,1.124
2020-04-17,AG,0.786,0.529,1.093
2020-04-18,AG,0.756,0.5,1.064
2020-04-19,AG,0.734,0.477,1.045
2020-04-20,AG,0.72,0.46,1.037
2020-04-21,AG,0.714,0.448,1.04
2020-04-22,AG,0.711,0.439,1.048
2020-04-23,AG,0.705,0.426,1.054
2020-04-24,AG,0.696,0.411,1.056
2020-04-25,AG,0.691,0.398,1.063
2020-04-26,AG,0.697,0.394,1.085
2020-04-27,AG,0.713,0.397,1.122
2020-04-28,AG,0.735,0.403,1.166
2020-04-29,AG,0.757,0.409,1.21
2020-04-30,AG,0.773,0.411,1.247
2020-05-01,AG,0.782,0.408,1.274
2020-05-02,AG,0.784,0.402,1.293
2020-05-03,AG,0.787,0.395,1.311
2020-05-04,AG,0.791,0.391,1.331
2020-05-05,AG,0.796,0.386,1.352
2020-05-06,AG,0.798,0.379,1.369
2020-05-07,AG,0.796,0.37,1.383
2020-05-08,AG,0.79,0.358,1.39
2020-05-09,AG,0.776,0.341,1.387
2020-05-10,AG,0.755,0.319,1.374
2020-05-11,AG,0.727,0.294,1.354
2020-05-12,AG,0.701,0.269,1.337
2020-05-13,AG,0.687,0.25,1.339
2020-05-14,AG,0.69,0.241,1.369
2020-05-15,AG,0.703,0.237,1.416
2020-05-16,AG,0.722,0.236,1.476
2020-05-17,AG,0.744,0.236,1.539
2020-05-18,AG,0.76,0.233,1.595
2020-05-19,AG,0.768,0.225,1.636
2020-05-20,AG,0.773,0.218,1.673
2020-05-21,AG,0.784,0.213,1.718
2020-05-22,AG,0.804,0.214,1.778
2020-05-23,AG,0.836,0.22,1.856
2020-05-24,AG,0.867,0.226,1.93
2020-05-25,AG,0.874,0.222,1.965
2020-05-26,AG,0.849,0.203,1.947
2020-05-27,AG,0.803,0.177,1.894
2020-05-28,AG,0.755,0.15,1.838
2020-05-29,AG,0.727,0.132,1.818
2020-05-30,AG,0.74,0.13,1.872
2020-05-31,AG,0.796,0.141,2.003
2020-06-01,AG,0.888,0.167,2.199
2020-06-02,AG,1.006,0.206,2.43
2020-06-03,AG,1.131,0.253,2.656
2020-06-04,AG,1.247,0.304,2.842
2020-06-05,AG,1.343,0.356,2.971
2020-06-06,AG,1.41,0.404,3.033
2020-06-07,AG,1.437,0.438,3.017
2020-06-08,AG,1.424,0.455,2.934
2020-06-09,AG,1.383,0.458,2.81
2020-06-10,AG,1.332,0.454,2.675
2020-06-11,AG,1.29,0.451,2.561
2020-06-12,AG,1.285,0.467,2.508
2020-06-13,AG,1.328,0.51,2.53
2020-06-14,AG,1.417,0.583,2.616
2020-06-15,AG,1.543,0.684,2.747
2020-06-16,AG,1.695,0.811,2.899
2020-06-17,AG,1.852,0.955,3.043
2020-06-18,AG,1.989,1.097,3.144
2020-06-19,AG,2.068,1.206,3.158
2020-06-20,AG,2.059,1.254,3.06
2020-06-21,AG,1.963,1.234,2.859
2020-06-22,AG,1.813,1.164,2.604
2020-06-23,AG,1.651,1.076,2.349
2020-06-24,AG,1.496,0.983,2.115
2020-06-25,AG,1.357,0.895,1.913
2020-06-26,AG,1.247,0.824,1.756
2020-06-27,AG,1.167,0.772,1.642
2020-06-28,AG,1.108,0.733,1.559
2020-06-29,AG,1.061,0.701,1.495
2020-06-30,AG,1.024,0.674,1.444
2020-07-01,AG,0.995,0.654,1.407
2020-07-02,AG,0.978,0.641,1.385
2020-07-03,AG,0.98,0.643,1.388
2020-07-04,AG,1.002,0.66,1.414
2020-07-05,AG,1.034,0.686,1.454
2020-07-06,AG,1.067,0.712,1.493
2020-07-07,AG,1.091,0.732,1.52
2020-07-08,AG,1.098,0.74,1.525
2020-07-09,AG,1.091,0.737,1.513
2020-07-10,AG,1.078,0.729,1.494
2020-07-11,AG,1.065,0.721,1.474
2020-07-12,AG,1.054,0.715,1.458
2020-07-13,AG,1.046,0.711,1.445
2020-07-14,AG,1.037,0.705,1.432
2020-07-15,AG,1.026,0.697,1.417
2020-07-16,AG,1.018,0.692,1.406
2020-07-17,AG,1.017,0.692,1.404
2020-07-18,AG,1.022,0.697,1.409
2020-07-19,AG,1.031,0.705,1.419
2020-07-20,AG,1.041,0.714,1.429
2020-07-21,AG,1.046,0.719,1.434
2020-07-22,AG,1.046,0.719,1.432
2020-07-23,AG,1.042,0.718,1.426
2020-07-24,AG,1.04,0.717,1.421
2020-07-25,AG,1.04,0.719,1.42
2020-07-26,AG,1.042,0.722,1.42
2020-07-27,AG,1.045,0.725,1.422
2020-07-28,AG,1.049,0.73,1.425
2020-07-29,AG,1.059,0.74,1.435
2020-07-30,AG,1.075,0.755,1.452
2020-07-31,AG,1.098,0.775,1.476
2020-08-01,AG,1.123,0.799,1.502
2020-08-02,AG,1.145,0.82,1.524
2020-08-03,AG,1.157,0.833,1.533
2020-08-04,AG,1.158,0.838,1.529
2020-08-05,AG,1.155,0.84,1.519
2020-08-06,AG,1.156,0.845,1.514
2020-08-07,AG,1.164,0.857,1.518
2020-08-08,AG,1.18,0.875,1.53
2020-08-09,AG,1.195,0.892,1.541
2020-08-10,AG,1.198,0.899,1.538
2020-08-11,AG,1.186,0.894,1.518
2020-08-12,AG,1.164,0.88,1.487
2020-08-13,AG,1.142,0.866,1.456
2020-08-14,AG,1.127,0.857,1.433
2020-08-15,AG,1.119,0.854,1.42
2020-08-16,AG,1.116,0.855,1.413
2020-08-17,AG,1.107,0.849,1.399
2020-08-18,AG,1.085,0.833,1.37
2020-08-19,AG,1.052,0.806,1.329
2020-08-20,AG,1.015,0.776,1.285
2020-08-21,AG,0.984,0.75,1.249
2020-08-22,AG,0.966,0.736,1.228
2020-08-23,AG,0.962,0.732,1.223
2020-08-24,AG,0.964,0.733,1.227
2020-08-25,AG,0.967,0.735,1.231
2020-08-26,AG,0.966,0.733,1.231
2020-08-27,AG,0.963,0.729,1.228
2020-08-28,AG,0.961,0.727,1.227
2020-08-29,AG,0.965,0.73,1.233
2020-08-30,AG,0.977,0.739,1.247
2020-08-31,AG,0.992,0.752,1.266
2020-09-01,AG,1.006,0.763,1.282
2020-09-02,AG,1.016,0.771,1.294
2020-09-03,AG,1.023,0.778,1.302
2020-09-04,AG,1.028,0.782,1.307
2020-09-05,AG,1.032,0.786,1.311
2020-09-06,AG,1.038,0.792,1.317
2020-09-07,AG,1.04,0.795,1.318
2020-09-08,AG,1.035,0.791,1.311
2020-09-09,AG,1.02,0.778,1.293
2020-09-10,AG,0.999,0.761,1.269
2020-09-11,AG,0.975,0.741,1.241
2020-09-12,AG,0.946,0.716,1.208
2020-09-13,AG,0.915,0.688,1.173
2020-09-14,AG,0.879,0.656,1.133
2020-09-15,AG,0.839,0.62,1.09
2020-09-16,AG,0.798,0.583,1.047
2020-09-17,AG,0.763,0.549,1.01
2020-09-18,AG,0.744,0.53,0.994
2020-09-19,AG,0.747,0.527,1.005
2020-09-20,AG,0.778,0.548,1.049
2020-09-21,AG,0.839,0.592,1.128
2020-09-22,AG,0.928,0.661,1.24
2020-09-23,AG,1.045,0.755,1.382
2020-09-24,AG,1.187,0.873,1.549
2020-09-25,AG,1.353,1.016,1.738
2020-09-26,AG,1.532,1.176,1.934
2020-09-27,AG,1.703,1.337,2.113
2020-09-28,AG,1.838,1.472,2.244
2020-09-29,AG,1.919,1.564,2.309
2020-09-30,AG,1.957,1.621,2.324
2020-10-01,AG,1.973,1.658,2.315
2020-10-02,AG,1.977,1.684,2.293
2020-10-03,AG,1.968,1.696,2.26
2020-10-04,AG,1.945,1.694,2.213
2020-10-05,AG,1.904,1.674,2.149
2020-10-06,AG,1.847,1.636,2.07
2020-10-07,AG,1.786,1.593,1.991
2020-10-08,AG,1.74,1.561,1.927
2020-10-09,AG,1.712,1.546,1.886
2020-10-10,AG,1.695,1.54,1.858
2020-10-11,AG,1.68,1.529,1.832
2020-10-12,AG,1.654,1.509,1.798
2020-10-13,AG,1.615,1.48,1.749
2020-10-14,AG,1.568,1.442,1.694
2020-10-15,AG,1.519,1.396,1.643
2020-10-16,AG,1.476,1.352,1.6
2020-10-17,AG,1.44,1.315,1.565
2020-10-18,AG,1.403,1.281,1.524
2020-10-19,AG,1.357,1.242,1.472
2020-10-20,AG,1.304,1.197,1.411
2020-10-21,AG,1.249,1.148,1.349
2020-10-22,AG,1.197,1.099,1.296
2020-10-23,AG,1.157,1.055,1.258
2020-10-24,AG,1.131,1.022,1.24
2020-10-25,AG,1.117,0.999,1.235
2020-10-26,AG,1.106,0.982,1.23
2020-10-27,AG,1.091,0.966,1.216
2020-10-28,AG,1.069,0.947,1.192
2020-10-29,AG,1.043,0.925,1.161
2020-10-30,AG,1.019,0.905,1.132
2020-10-31,AG,1,0.89,1.11
2020-11-01,AG,0.984,0.875,1.094
2020-11-02,AG,0.97,0.856,1.085
2020-11-03,AG,0.954,0.832,1.076
2020-11-04,AG,0.936,0.807,1.066
2020-11-05,AG,0.921,0.786,1.055
2020-11-06,AG,0.913,0.778,1.048
2020-11-07,AG,0.916,0.785,1.048
2020-11-08,AG,0.929,0.806,1.052
2020-11-09,AG,0.945,0.832,1.059
2020-11-10,AG,0.961,0.856,1.065
2020-11-11,AG,0.973,0.876,1.07
2020-11-12,AG,0.984,0.887,1.081
2020-11-13,AG,0.997,0.893,1.101
2020-11-14,AG,1.012,0.897,1.128
2020-11-15,AG,1.026,0.901,1.152
2020-11-16,AG,1.034,0.903,1.165
2020-11-17,AG,1.033,0.902,1.164
2020-11-18,AG,1.023,0.896,1.151
2020-11-19,AG,1.011,0.889,1.134
2020-11-20,AG,1.004,0.886,1.121
2020-11-21,AG,1.003,0.89,1.117
2020-11-22,AG,1.008,0.897,1.119
2020-11-23,AG,1.014,0.904,1.124
2020-11-24,AG,1.018,0.905,1.131
2020-11-25,AG,1.021,0.902,1.14
2020-11-26,AG,1.027,0.901,1.152
2020-11-27,AG,1.039,0.909,1.169
2020-11-28,AG,1.057,0.923,1.19
2020-11-29,AG,1.077,0.943,1.21
2020-11-30,AG,1.093,0.963,1.223
2020-12-01,AG,1.102,0.978,1.226
2020-12-02,AG,1.104,0.985,1.223
2020-12-03,AG,1.103,0.989,1.218
2020-12-04,AG,1.104,0.993,1.215
2020-12-05,AG,1.107,0.996,1.219
2020-12-06,AG,1.109,0.996,1.223
2020-12-07,AG,1.104,0.988,1.221
2020-12-08,AG,1.091,0.973,1.208
2020-12-09,AG,1.071,0.955,1.187
2020-12-10,AG,1.05,0.937,1.164
2020-12-11,AG,1.031,0.919,1.143
2020-12-12,AG,1.015,0.903,1.127
2020-12-13,AG,0.998,0.886,1.111
2020-12-14,AG,0.979,0.867,1.09
2020-12-15,AG,0.953,0.844,1.062
2020-12-16,AG,0.926,0.819,1.032
2020-12-17,AG,0.902,0.795,1.009
2020-12-18,AG,0.886,0.775,0.997
2020-12-19,AG,0.879,0.763,0.996
2020-12-20,AG,0.879,0.756,1.001
2020-12-21,AG,0.88,0.754,1.006
2020-12-22,AG,0.88,0.754,1.006
2020-12-23,AG,0.879,0.756,1.002
2020-12-24,AG,0.879,0.759,1
2020-12-25,AG,0.885,0.768,1.003
2020-12-26,AG,0.899,0.783,1.015
2020-12-27,AG,0.917,0.802,1.031
2020-12-28,AG,0.929,0.816,1.041
2020-12-29,AG,0.928,0.817,1.038
2020-12-30,AG,0.916,0.807,1.025
2020-12-31,AG,0.899,0.79,1.008
2021-01-01,AG,0.884,0.772,0.995
2021-01-02,AG,0.873,0.76,0.986
2021-01-03,AG,0.866,0.754,0.978
2021-01-04,AG,0.859,0.751,0.968
2021-01-05,AG,0.848,0.743,0.952
2021-01-06,AG,0.832,0.73,0.935
2021-01-07,AG,0.82,0.717,0.923
2021-01-08,AG,0.816,0.711,0.922
2021-01-09,AG,0.823,0.714,0.932
2021-01-10,AG,0.836,0.725,0.947
2021-01-11,AG,0.851,0.742,0.961
2021-01-12,AG,0.863,0.757,0.969
2021-01-13,AG,0.869,0.768,0.971
2021-01-14,AG,0.873,0.774,0.972
2021-01-15,AG,0.877,0.779,0.975
2021-01-16,AG,0.885,0.785,0.984
2021-01-17,AG,0.893,0.791,0.995
2021-01-18,AG,0.897,0.795,0.999
2021-01-19,AG,0.893,0.793,0.993
2021-01-20,AG,0.881,0.782,0.98
2021-01-21,AG,0.863,0.764,0.963
2021-01-22,AG,0.848,0.746,0.951
2021-01-23,AG,0.841,0.735,0.946
2021-01-24,AG,0.84,0.731,0.949
2021-01-25,AG,0.841,0.73,0.952
2021-01-26,AG,0.841,0.729,0.952
2021-01-27,AG,0.836,0.723,0.948
2021-01-28,AG,0.828,0.714,0.941
2021-01-29,AG,0.82,0.707,0.934
2021-01-30,AG,0.818,0.707,0.928
2021-01-31,AG,0.821,0.716,0.926
2021-02-01,AG,0.826,0.726,0.928
2021-02-02,AG,0.828,0.73,0.933
2021-02-03,AG,0.827,0.727,0.933
2021-02-04,AG,0.822,0.721,0.931
2021-02-05,AG,0.818,0.713,0.928
2021-02-06,AG,0.818,0.709,0.93
2021-02-07,AG,0.823,0.713,0.938
2021-02-08,AG,0.832,0.721,0.95
2021-02-09,AG,0.841,0.728,0.963
2021-02-10,AG,0.851,0.735,0.976
2021-02-11,AG,0.864,0.745,0.992
2021-02-12,AG,0.883,0.758,1.014
2021-02-13,AG,0.908,0.78,1.044
2021-02-14,AG,0.942,0.812,1.082
2021-02-15,AG,0.977,0.843,1.121
2021-02-16,AG,1.007,0.869,1.154
2021-02-17,AG,1.027,0.888,1.176
2021-02-18,AG,1.04,0.9,1.191
2021-02-19,AG,1.05,0.909,1.2
2021-02-20,AG,1.056,0.916,1.207
2021-02-21,AG,1.061,0.921,1.211
2021-02-22,AG,1.061,0.921,1.21
2021-02-23,AG,1.057,0.914,1.205
2021-02-24,AG,1.053,0.908,1.2
2021-02-25,AG,1.055,0.907,1.202
2021-02-26,AG,1.065,0.916,1.215
2021-02-27,AG,1.087,0.935,1.238
2021-02-28,AG,1.115,0.964,1.267
2021-03-01,AG,1.144,1,1.292
2021-03-02,AG,1.171,1.032,1.319
2021-03-03,AG,1.197,1.058,1.344
2021-03-04,AG,1.223,1.085,1.37
2021-03-05,AG,1.248,1.111,1.393
2021-03-06,AG,1.271,1.134,1.415
2021-03-07,AG,1.285,1.137,1.432
2021-03-08,AG,1.282,1.133,1.43
2021-03-09,AG,1.262,1.12,1.404
2021-03-10,AG,1.235,1.101,1.369
2021-03-11,AG,1.207,1.079,1.335
2021-03-12,AG,1.185,1.061,1.309
2021-03-13,AG,1.17,1.048,1.292
2021-03-14,AG,1.159,1.037,1.28
2021-03-15,AG,1.143,1.021,1.266
2021-03-16,AG,1.121,0.996,1.245
2021-03-17,AG,1.093,0.965,1.22
2021-03-18,AG,1.064,0.936,1.192
2021-03-19,AG,1.04,0.914,1.166
2021-03-20,AG,1.021,0.899,1.142
2021-03-21,AG,1.006,0.89,1.122
2021-03-22,AG,0.991,0.88,1.102
2021-03-23,AG,0.975,0.867,1.083
2021-03-24,AG,0.958,0.851,1.065
2021-03-25,AG,0.947,0.839,1.056
2021-03-26,AG,0.949,0.835,1.064
2021-03-27,AG,0.966,0.843,1.088
2021-03-28,AG,0.993,0.863,1.123
2021-03-29,AG,1.026,0.892,1.161
2021-03-30,AG,1.057,0.92,1.195
2021-03-31,AG,1.081,0.943,1.219
2021-04-01,AG,1.097,0.957,1.236
2021-04-02,AG,1.106,0.964,1.248
2021-04-03,AG,1.11,0.965,1.255
2021-04-04,AG,1.108,0.961,1.254
2021-04-05,AG,1.098,0.952,1.243
2021-04-06,AG,1.078,0.935,1.222
2021-04-07,AG,1.053,0.912,1.193
2021-04-08,AG,1.025,0.886,1.165
2021-04-09,AG,1.002,0.864,1.141
2021-04-10,AG,0.986,0.848,1.125
2021-04-11,AG,0.978,0.841,1.115
2021-04-12,AG,0.974,0.841,1.107
2021-04-13,AG,0.972,0.843,1.1
2021-04-14,AG,0.969,0.844,1.095
2021-04-15,AG,0.967,0.841,1.094
2021-04-16,AG,0.967,0.837,1.097
2021-04-17,AG,0.969,0.836,1.101
2021-04-18,AG,0.968,0.836,1.1
2021-04-19,AG,0.962,0.834,1.09
2021-04-20,AG,0.949,0.827,1.072
2021-04-21,AG,0.931,0.813,1.048
2021-04-22,AG,0.911,0.797,1.024
2021-04-23,AG,0.894,0.783,1.006
2021-04-24,AG,0.885,0.773,0.996
2021-04-25,AG,0.88,0.768,0.993
2021-04-26,AG,0.879,0.766,0.992
2021-04-27,AG,0.878,0.765,0.991
2021-04-28,AG,0.877,0.764,0.989
2021-04-29,AG,0.877,0.764,0.989
2021-04-30,AG,0.878,0.765,0.991
2021-05-01,AG,0.882,0.766,0.999
2021-05-02,AG,0.887,0.767,1.007
2021-05-03,AG,0.889,0.768,1.011
2021-05-04,AG,0.888,0.768,1.007
2021-05-05,AG,0.881,0.765,0.998
2021-05-06,AG,0.873,0.759,0.987
2021-05-07,AG,0.868,0.756,0.98
2021-05-08,AG,0.866,0.755,0.977
2021-05-09,AG,0.865,0.754,0.976
2021-05-10,AG,0.861,0.75,0.972
2021-05-11,AG,0.85,0.74,0.96
2021-05-12,AG,0.833,0.725,0.944
2021-05-13,AG,0.814,0.709,0.926
2021-05-14,AG,0.798,0.693,0.911
2021-05-15,AG,0.786,0.68,0.9
2021-05-16,AG,0.777,0.669,0.893
2021-05-17,AG,0.767,0.658,0.885
2021-05-18,AG,0.753,0.642,0.873
2021-05-19,AG,0.733,0.621,0.855
2021-05-20,AG,0.713,0.599,0.837
2021-05-21,AG,0.698,0.583,0.825
2021-05-22,AG,0.691,0.572,0.821
2021-05-23,AG,0.691,0.569,0.826
2021-05-24,AG,0.698,0.57,0.839
2021-05-25,AG,0.707,0.573,0.853
2021-05-26,AG,0.713,0.575,0.867
2021-05-27,AG,0.719,0.575,0.879
2021-05-28,AG,0.725,0.575,0.891
2021-05-29,AG,0.731,0.577,0.904
2021-05-30,AG,0.741,0.58,0.921
2021-05-31,AG,0.752,0.586,0.94
2021-06-01,AG,0.763,0.59,0.958
2021-06-02,AG,0.767,0.589,0.968
2021-06-03,AG,0.765,0.582,0.972
2021-06-04,AG,0.758,0.572,0.97
2021-06-05,AG,0.75,0.56,0.967
2021-06-06,AG,0.74,0.546,0.962
2021-06-07,AG,0.727,0.53,0.955
2021-06-08,AG,0.712,0.512,0.945
2021-06-09,AG,0.696,0.493,0.934
2021-06-10,AG,0.681,0.474,0.925
2021-06-11,AG,0.67,0.459,0.922
2021-06-12,AG,0.666,0.448,0.927
2021-06-13,AG,0.669,0.443,0.941
2021-06-14,AG,0.676,0.44,0.962
2021-06-15,AG,0.687,0.44,0.987
2021-06-16,AG,0.7,0.442,1.017
2021-06-17,AG,0.715,0.445,1.049
2021-06-18,AG,0.734,0.451,1.084
2021-06-19,AG,0.758,0.461,1.128
2021-06-20,AG,0.793,0.48,1.184
2021-06-21,AG,0.843,0.51,1.258
2021-06-22,AG,0.911,0.555,1.352
2021-06-23,AG,0.999,0.618,1.469
2021-06-24,AG,1.107,0.699,1.607
2021-06-25,AG,1.23,0.796,1.757
2021-06-26,AG,1.356,0.901,1.903
2021-06-27,AG,1.463,0.997,2.018
2021-06-28,AG,1.537,1.071,2.087
2021-06-29,AG,1.578,1.121,2.11
2021-06-30,AG,1.592,1.153,2.102
2021-07-01,AG,1.589,1.169,2.071
2021-07-02,AG,1.566,1.169,2.02
2021-07-03,AG,1.527,1.153,1.952
2021-07-04,AG,1.475,1.125,1.872
2021-07-05,AG,1.416,1.088,1.787
2021-07-06,AG,1.357,1.049,1.704
2021-07-07,AG,1.31,1.019,1.638
2021-07-08,AG,1.28,1.001,1.593
2021-07-09,AG,1.266,0.997,1.568
2021-07-10,AG,1.262,1,1.555
2021-07-11,AG,1.262,1.006,1.546
2021-07-12,AG,1.258,1.009,1.535
2021-07-13,AG,1.248,1.005,1.517
2021-07-14,AG,1.233,0.998,1.494
2021-07-15,AG,1.218,0.989,1.471
2021-07-16,AG,1.206,0.983,1.451
2021-07-17,AG,1.198,0.98,1.437
2021-07-18,AG,1.195,0.982,1.429
2021-07-19,AG,1.196,0.986,1.425
2021-07-20,AG,1.201,0.995,1.426
2021-07-21,AG,1.215,1.011,1.437
2021-07-22,AG,1.242,1.04,1.462
2021-07-23,AG,1.278,1.076,1.496
2021-07-24,AG,1.315,1.115,1.532
2021-07-25,AG,1.352,1.154,1.565
2021-07-26,AG,1.388,1.193,1.598
2021-07-27,AG,1.424,1.232,1.63
2021-07-28,AG,1.464,1.276,1.665
2021-07-29,AG,1.511,1.326,1.707
2021-07-30,AG,1.562,1.381,1.753
2021-07-31,AG,1.601,1.417,1.786
2021-08-01,AG,1.62,1.433,1.807
2021-08-02,AG,1.619,1.437,1.8
2021-08-03,AG,1.602,1.433,1.771
2021-08-04,AG,1.579,1.421,1.736
2021-08-05,AG,1.554,1.401,1.707
2021-08-06,AG,1.532,1.38,1.685
2021-08-07,AG,1.506,1.356,1.656
2021-08-08,AG,1.468,1.325,1.612
2021-08-09,AG,1.418,1.282,1.554
2021-08-10,AG,1.36,1.231,1.489
2021-08-11,AG,1.302,1.176,1.427
2021-08-12,AG,1.249,1.124,1.373
2021-08-13,AG,1.205,1.08,1.33
2021-08-14,AG,1.169,1.043,1.295
2021-08-15,AG,1.137,1.011,1.263
2021-08-16,AG,1.105,0.98,1.231
2021-08-17,AG,1.074,0.951,1.197
2021-08-18,AG,1.046,0.926,1.165
2021-08-19,AG,1.024,0.909,1.139
2021-08-20,AG,1.012,0.899,1.125
2021-08-21,AG,1.008,0.895,1.122
2021-08-22,AG,1.009,0.892,1.125
2021-08-23,AG,1.007,0.889,1.126
2021-08-24,AG,1.001,0.883,1.119
2021-08-25,AG,0.991,0.876,1.106
2021-08-26,AG,0.979,0.868,1.09
2021-08-27,AG,0.969,0.864,1.074
2021-08-28,AG,0.96,0.862,1.059
2021-08-29,AG,0.952,0.859,1.044
2021-08-30,AG,0.938,0.849,1.026
2021-08-31,AG,0.917,0.829,1.004
2021-09-01,AG,0.889,0.799,0.979
2021-09-02,AG,0.859,0.765,0.953
2021-09-03,AG,0.829,0.731,0.928
2021-09-04,AG,0.804,0.703,0.905
2021-09-05,AG,0.783,0.683,0.883
2021-09-06,AG,0.764,0.666,0.861
2021-09-07,AG,0.744,0.65,0.839
2021-09-08,AG,0.725,0.632,0.818
2021-09-09,AG,0.709,0.616,0.802
2021-09-10,AG,0.698,0.603,0.793
2021-09-11,AG,0.696,0.599,0.793
2021-09-12,AG,0.704,0.605,0.803
2021-09-13,AG,0.719,0.62,0.818
2021-09-14,AG,0.738,0.638,0.837
2021-09-15,AG,0.758,0.657,0.859
2021-09-16,AG,0.778,0.673,0.884
2021-09-17,AG,0.8,0.687,0.912
2021-09-18,AG,0.821,0.702,0.941
2021-09-19,AG,0.843,0.722,0.964
2021-09-20,AG,0.862,0.745,0.979
2021-09-21,AG,0.874,0.765,0.988
2021-09-22,AG,0.875,0.766,0.992
2021-09-23,AG,0.869,0.759,0.987
2021-09-24,AG,0.861,0.749,0.98
2021-09-25,AG,0.852,0.74,0.973
2021-09-26,AG,0.846,0.732,0.968
2021-09-27,AG,0.842,0.724,0.966
2021-09-28,AG,0.84,0.72,0.965
2021-09-29,AG,0.84,0.721,0.967
2021-09-30,AG,0.843,0.722,0.973
2021-10-01,AG,0.851,0.727,0.984
2021-10-02,AG,0.864,0.737,1.001
2021-10-03,AG,0.879,0.749,1.02
2021-10-04,AG,0.894,0.761,1.038
2021-10-05,AG,0.905,0.77,1.052
2021-10-06,AG,0.913,0.775,1.063
2021-10-07,AG,0.919,0.776,1.071
2021-10-08,AG,0.923,0.772,1.077
2021-10-09,AG,0.927,0.768,1.086
2020-10-01,AI,2.811,1.48,4.562
2020-10-02,AI,2.611,1.467,4.08
2020-10-03,AI,2.396,1.414,3.633
2020-10-04,AI,2.188,1.342,3.238
2020-10-05,AI,2.002,1.265,2.905
2020-10-06,AI,1.844,1.194,2.633
2020-10-07,AI,1.714,1.133,2.414
2020-10-08,AI,1.608,1.081,2.239
2020-10-09,AI,1.524,1.039,2.1
2020-10-10,AI,1.451,1.002,1.983
2020-10-11,AI,1.383,0.963,1.877
2020-10-12,AI,1.315,0.922,1.776
2020-10-13,AI,1.251,0.881,1.685
2020-10-14,AI,1.194,0.843,1.605
2020-10-15,AI,1.153,0.816,1.546
2020-10-16,AI,1.131,0.804,1.513
2020-10-17,AI,1.126,0.805,1.5
2020-10-18,AI,1.127,0.81,1.496
2020-10-19,AI,1.127,0.813,1.491
2020-10-20,AI,1.115,0.807,1.473
2020-10-21,AI,1.09,0.788,1.439
2020-10-22,AI,1.057,0.764,1.397
2020-10-23,AI,1.024,0.739,1.356
2020-10-24,AI,0.996,0.716,1.32
2020-10-25,AI,0.972,0.698,1.292
2020-10-26,AI,0.952,0.68,1.269
2020-10-27,AI,0.93,0.661,1.243
2020-10-28,AI,0.902,0.637,1.213
2020-10-29,AI,0.871,0.609,1.179
2020-10-30,AI,0.84,0.581,1.146
2020-10-31,AI,0.811,0.554,1.116
2020-11-01,AI,0.788,0.532,1.095
2020-11-02,AI,0.773,0.515,1.083
2020-11-03,AI,0.762,0.5,1.077
2020-11-04,AI,0.752,0.486,1.075
2020-11-05,AI,0.744,0.474,1.075
2020-11-06,AI,0.738,0.462,1.078
2020-11-07,AI,0.737,0.454,1.088
2020-11-08,AI,0.743,0.451,1.106
2020-11-09,AI,0.75,0.449,1.127
2020-11-10,AI,0.755,0.445,1.146
2020-11-11,AI,0.755,0.437,1.159
2020-11-12,AI,0.754,0.428,1.17
2020-11-13,AI,0.754,0.42,1.184
2020-11-14,AI,0.76,0.417,1.205
2020-11-15,AI,0.772,0.417,1.234
2020-11-16,AI,0.79,0.422,1.272
2020-11-17,AI,0.813,0.43,1.316
2020-11-18,AI,0.84,0.442,1.364
2020-11-19,AI,0.868,0.454,1.413
2020-11-20,AI,0.894,0.467,1.458
2020-11-21,AI,0.92,0.479,1.501
2020-11-22,AI,0.945,0.493,1.542
